idDevedores,Valor,QtdTitulos
11722,1348,60,2
11739,1699,20,2
11753,179,80,2
11759,4014,20,9
11765,1828,00,3
11768,239,60,1
11769,3986,40,3
11775,789,30,2
11787,1818,20,3
11797,999,00,1
11802,1118,90,2
11822,479,40,12
11845,579,40,1
12092,509,50,1
12093,898,50,3
12094,79,90,1
12095,299,50,5
12097,2935,10,9
12098,3833,60,9
12099,1916,80,9
12100,8749,10,14
12101,1228,70,2
12102,1139,00,2
12103,299,50,5
12105,209,80,1
12106,49,90,1
12107,1847,90,3
12108,1148,40,10
12109,1797,00,15
12110,3886,00,3
12113,209,80,1
12114,7247,90,9
12115,3946,90,5
12116,47913,70,23
12117,4984,10,1
12118,51987,00,6
12119,2695,50,9
12120,2457,40,4
12121,7069,20,10
12122,8031,00,2
12123,988,90,1
12125,419,30,4
12126,939,20,2
12127,719,20,3
12128,1198,40,2
12129,7250,40,6
12130,1119,60,4
12131,1498,50,7
12132,3708,60,4
12133,6209,80,7
12134,2978,00,5
12135,8345,50,9
12136,59,90,1
12137,89,90,1
12138,108,50,4
12139,59,90,1
12140,539,10,9
12141,59,90,1
12142,18133,80,18
12143,8398,80,12
12144,4017,30,1
12145,1078,20,9
12146,2267,40,1
12147,8872,60,2
12148,369,60,4
12149,629,30,1
12150,22737,60,16
12151,89,90,1
12152,419,30,2
12153,1078,20,9
12156,419,60,2
12157,41534,70,13
12158,778,70,9
12159,179,70,3
12160,30763,80,17
12161,5893,10,18
12162,299,70,1
12163,329,60,3
12164,2767,70,5
12165,539,10,9
12166,4372,70,9
12167,89,90,1
12168,16063,30,16
12169,2156,40,9
12170,829,30,2
12171,719,20,8
12172,59,90,1
12173,179,70,3
12174,20862,60,9
12175,1808,20,4
12176,479,20,2
12177,599,70,3
12178,59,90,1
12179,1358,30,2
12180,13597,30,9
12181,209,80,1
12182,558,60,5
12184,1428,40,1
12185,33027,60,23
12187,46684,40,29
12188,2726,20,3
12189,958,40,9
12190,4076,60,17
12191,539,10,3
12192,299,50,5
12193,5873,70,13
12195,4984,40,19
12196,599,00,1
12197,89,90,1
12198,14975,00,9
12199,99,80,1
12200,1617,30,9
12201,50503,60,2
12202,638,40,8
12203,1028,80,2
12204,539,10,9
12205,849,30,1
12206,67796,70,30
12207,2337,20,6
12208,539,10,9
12209,189,90,1
12210,1317,80,3
12211,1317,80,3
12212,31527,70,7
12213,499,70,1
12214,359,40,3
12215,5598,60,14
12216,2633,40,6
12217,27774,40,9
12218,5513,60,12
12219,2467,00,3
12220,548,90,1
12221,2318,60,2
12222,2336,20,11
12223,958,40,4
12224,5344,50,9
12225,189,70,1
12227,7317,56,2
12228,1005,00,1
12229,840,00,2
12230,700,00,1
12231,2200,00,1
12232,500,00,1
12233,20000,00,8
12234,5890,00,19
12235,250,00,1
12236,10600,00,4
12237,600,00,2
12238,8044,00,12
12239,7242,48,22
12240,1080,00,2
12241,3600,00,10
12242,13759,78,11
12243,936,00,2
12244,500,00,2
12245,2719,70,8
12246,3774,16,15
12247,6524,15,13
12248,690,00,1
12249,250,00,1
12250,250,00,1
12251,3774,16,15
12252,3512,08,14
12253,1415,20,3
12254,3774,16,15
12255,2628,72,10
12257,3840,00,6
12258,3524,16,14
12259,512,08,2
12260,3600,00,5
12263,262,08,1
12264,4134,97,10
12265,786,24,3
12266,39878,00,15
12267,3774,16,15
12268,6754,22,7
12269,4892,56,15
12272,6604,78,7
12273,825,54,1
12275,345,00,1
12276,310,00,1
12277,1512,08,6
12278,3774,16,15
12279,8186,28,15
12280,3665,12,14
12281,3512,08,14
12282,3774,16,15
12283,618,00,3
12284,2646,00,3
12285,1080,00,4
12287,3920,00,2
12288,649,94,2
12289,1725,00,5
12290,361,66,1
12291,3774,16,15
12292,2846,64,11
12293,1250,00,5
12294,4679,94,15
12295,3593,04,5
12296,1050,00,2
12297,4830,00,14
12298,600,00,2
12299,2996,08,11
12301,2496,00,6
12303,10533,81,15
12304,3512,08,14
12305,1890,00,2
12306,4846,66,14
12307,512,08,2
12308,553,04,2
12309,2688,00,7
12310,3774,16,15
12311,3774,16,15
12312,3262,08,13
12314,3024,16,12
12315,1808,30,3
12317,1358,00,1
12318,360,00,1
12319,1786,75,2
12320,9000,00,6
12321,1440,00,1
12322,3900,00,13
12323,16500,00,11
12324,918,00,3
12325,687,50,1
12326,360,00,1
12327,4500,00,15
12328,3600,00,10
12329,3300,00,11
